Start,End,Open,High,Low,Close,Volume,Market Cap
01/10/2019,01/11/2019,8286.791706,10112.45209,7377.740725,9154.923648,18640100277,1.50E+11
01/09/2019,01/10/2019,9607.181476,10887.87425,7773.497354,8269.028682,16421823410,1.76E+11
01/08/2019,01/09/2019,10084.11057,12193.90832,9388.612159,9609.787647,17598421860,1.90E+11
01/07/2019,01/08/2019,10908.29666,13101.37423,9134.258911,10080.08612,21649041035,1.90E+11
01/06/2019,01/07/2019,8599.053486,13967.86228,7623.1769,10912.25593,21341263003,1.67E+11
01/05/2019,01/06/2019,5306.244504,8991.454183,5223.551019,8606.278615,18604221936,1.27E+11
01/04/2019,01/05/2019,4199.61744,5660.855011,4184.983266,5305.984482,12885759334,90932547335
01/03/2019,01/04/2019,3844.921366,4210.954138,3733.917482,4202.588398,7175611821,69625481426
01/02/2019,01/03/2019,3444.921907,4172.083234,3366.804929,3845.258313,4596279496,64260795306
01/01/2019,01/02/2019,3747.289082,4109.51366,3392.538497,3447.812769,3976699613,64724762101
01/12/2018,01/01/2019,4036.229875,4291.695879,3188.542617,3746.123953,3747294207,64973029315
01/11/2018,01/12/2018,6299.903907,6546.917805,3596.008061,4030.044494,4009374477,95286740952
01/10/2018,01/11/2018,6624.023395,7241.013387,6218.533471,6298.837501,3136620184,1.12E+11
01/09/2018,01/10/2018,7011.745045,7399.96284,6164.499002,6619.480812,3557874743,1.14E+11
01/08/2018,01/09/2018,7744.631395,7747.417375,5952.33538,7018.26405,3852817308,1.16E+11
01/07/2018,01/08/2018,6385.423752,8416.620991,6129.642443,7752.144492,4614616542,1.21E+11
01/06/2018,01/07/2018,7503.960275,7711.707126,5829.901535,6376.564855,3324316418,1.16E+11
01/05/2018,01/06/2018,9253.083883,9972.750074,7108.097718,7504.038587,4737470107,1.44E+11
01/04/2018,01/05/2018,6959.89062,9745.08596,6506.022091,9240.335679,5136551760,1.35E+11
01/03/2018,01/04/2018,10423.58148,11622.50317,6665.141403,6955.124518,4161223960,1.54E+11
01/02/2018,01/03/2018,10269.84389,11976.61948,5963.239119,10412.02401,4525249406,1.60E+11
01/01/2018,01/02/2018,14046.00276,18578.49314,9300.527455,10236.67507,11550922142,2.20E+11
01/12/2017,01/01/2018,10215.70115,19927.18534,9685.536843,14033.56799,11075163139,2.51E+11
01/11/2017,01/12/2017,6433.497858,11498.10612,5614.214078,10273.82557,3802486973,1.29E+11
01/10/2017,01/11/2017,4313.69041,6443.118174,4157.650335,6443.118174,1638490376,87561259574
01/09/2017,01/10/2017,4703.39,4975.04,2946.62,4312.820213,1866753658,67789355006
01/08/2017,01/09/2017,2875.34,4736.05,2668.59,4704.98,1989740992,62842980625
01/07/2017,01/08/2017,2480.84,2916.14,1843.03,2872.31,1031631401,41234709381
01/06/2017,01/07/2017,2286.41,2999.91,2212.96,2483.7,1486022251,43046283535
01/05/2017,01/06/2017,1347.89,2763.71,1347.89,2289.12,1075032138,30729771495
01/04/2017,01/05/2017,1071.79,1347.91,1061.09,1347.91,319643807.4,19497201845
01/03/2017,01/04/2017,1179.97,1280.31,903.713,1071.45,337335416.9,18425843092
01/02/2017,01/03/2017,970.403,1200.39,946.691,1179.74,150395176.5,17071405162
01/01/2017,01/02/2017,963.743,1191.1,755.756,970.555,156039224.4,14735139001
01/12/2016,01/01/2017,745.691,979.397,745.691,963.599,110987249.7,13187815136
01/11/2016,01/12/2016,700.972,756.237,678.156,745.715,86560582.58,11608045122
01/10/2016,01/11/2016,609.735,720.402,609.479,701.018,65638730.17,10217848555
01/09/2016,01/10/2016,575.472,628.818,570.811,609.67,66190432.84,9581739612
01/08/2016,01/09/2016,624.681,626.119,531.334,575.329,85826387.4,9210808416
01/07/2016,01/08/2016,673.337,704.968,611.834,625.039,109492490.6,10429115843
01/06/2016,01/07/2016,531.386,777.99,525.636,674.039,153249520.1,9973261537
01/05/2016,01/06/2016,448.318,553.96,437.389,531.433,68518701.86,7164605132
01/04/2016,01/05/2016,416.729,467.965,415.831,448.223,56349783.24,6688801153
01/03/2016,01/04/2016,437.697,439.653,394.035,416.779,73660235.73,6398464638
01/02/2016,01/03/2016,368.767,448.046,367.957,438.156,62328106.34,6123478935
01/01/2016,01/02/2016,430.567,462.934,354.914,368.661,57628842.43,6218930542
01/12/2015,01/01/2016,377.321,469.103,349.465,430.538,65521307.11,6298732744
01/11/2015,01/12/2015,314.166,495.562,300.997,377.327,70558511.94,5160548912
01/10/2015,01/11/2015,236.06,334.169,235.616,314.036,28728922.78,3877801584
01/09/2015,01/10/2015,230.056,259.182,225.117,236.083,19377282.68,3415715091
01/08/2015,01/09/2015,284.65,285.715,199.567,230.18,29087575.92,3685525288
01/07/2015,01/08/2015,263.072,314.394,253.505,284.501,32538769.37,4007930139
01/06/2015,01/07/2015,230.19,267.867,221.296,263.107,20492148.79,3385774412
01/05/2015,01/06/2015,236.145,247.804,228.573,229.968,18874212.99,3360077315
01/04/2015,01/05/2015,244.224,261.798,214.874,235.997,22101011.43,3305952505
01/03/2015,01/04/2015,254.263,300.044,236.515,244.14,30009589.15,3740439742
01/02/2015,01/03/2015,217.464,265.611,212.015,254.274,25697424,3224951232
01/01/2015,01/02/2015,320.193,320.435,171.51,217.8,34730209.81,3467257426
01/12/2014,01/01/2015,378.047,384.038,304.232,319.983,17260711.94,4667155234
